datetime,AAPL,AXP,BA,GE,JNJ,JPM,KO,MCD,MSFT,VZ,WMT,XOM
2008-01-02,6.95857,51.04,86.62,282.76923,65.91,42.17,30.545,58.1,35.22,40.33855,46.9,93.51
2008-01-03,6.96179,50.41,86.98,283.07693,65.93,41.88,30.865,57.93,35.37,40.52526,46.38,93.83
2008-01-04,6.43036,49.14,85.82,277.23077,65.84,40.93,30.925,57.05,34.38,39.76908,45.72,92.08
2008-01-07,6.34429,49.36,82.87,278.30768,66.86,41.34,31.655,58.03,34.61,40.46924,46.56,91.22
2008-01-08,6.11607,47.95,79.91,272.30768,66.94,39.7,31.785,57.08,33.45,39.19962,45.97,90.05
2008-01-09,6.40714,49.08,80.3,275.38461,67.8,40.26,32.635,57.47,34.44,39.64772,46.9,91.56
2008-01-10,6.35786,48.92,82.36,276.30768,67.91,41.33,32.78,58.17,34.33,40.5626,48.4,91.66
2008-01-11,6.1675,44.0,80.52,270.53845,67.88,40.86,31.885,54.32,33.91,39.67573,47.72,90.3
2008-01-14,6.385,44.5,81.67,272.76923,67.95,41.36,32.15,54.96,34.39,40.13317,47.67,90.83
2008-01-15,6.03714,42.77,77.86,265.61539,67.76,39.17,31.805,53.76,34.0,39.36766,46.99,89.02
2008-01-16,5.70143,44.24,79.87,265.84616,68.31,41.43,31.325,52.41,33.23,39.50769,47.49,86.53
2008-01-17,5.74607,42.67,79.52,255.46153,67.83,40.04,31.02,51.98,33.11,38.19139,47.48,83.91
2008-01-18,5.76286,43.61,78.4,263.92307,66.29,39.59,30.37,52.4,33.01,36.49234,47.58,85.08
2008-01-22,5.55857,43.34,77.6,261.92307,65.27,40.86,29.395,52.45,31.96,35.31607,49.2,82.45
2008-01-23,4.96679,46.21,76.57,266.07693,64.2,45.72,29.435,53.01,31.93,35.54012,50.16,83.45
2008-01-24,4.84286,47.11,77.62,266.53845,63.51,44.96,29.94,54.0,33.25,35.68949,48.91,86.0
2008-01-25,4.64321,45.44,77.03,261.53845,62.46,43.64,29.205,54.1,32.94,35.25072,48.09,83.94
2008-01-28,4.64321,47.4,77.6,267.07693,63.07,45.57,29.705,51.07,32.72,35.57746,48.71,85.13
2008-01-29,4.69786,47.8,80.96,267.38461,62.97,47.45,29.275,50.75,32.6,36.13759,49.01,85.08
2008-01-30,4.72071,47.34,82.87,268.76923,62.18,47.35,28.885,51.01,32.2,35.69882,49.16,85.28
2008-01-31,4.83429,49.13,83.18,272.0,63.14,47.4,29.5,53.58,32.6,36.24961,50.74,85.7
2008-02-01,4.77679,49.6,82.76,278.15384,63.36,48.25,29.63,54.22,30.45,36.17493,51.18,85.95
2008-02-04,4.70179,47.66,82.9,272.07693,63.47,46.22,29.315,53.88,30.19,36.04423,50.07,85.44
2008-02-05,4.62,45.7,81.69,263.15384,62.87,43.89,28.7,53.84,29.07,34.38252,49.56,82.11
2008-02-06,4.35714,45.87,79.91,263.07693,63.05,43.72,28.855,53.73,28.52,34.26116,48.83,81.44
2008-02-07,4.33,46.45,79.75,263.30768,62.81,45.11,29.225,54.46,28.12,34.49454,49.84,81.89
2008-02-08,4.48143,44.98,79.33,260.30768,62.03,43.82,29.625,55.64,28.56,33.99977,48.76,81.71
2008-02-11,4.62321,44.63,81.13,261.61539,61.88,43.35,29.75,55.98,28.21,34.34518,49.6,83.22
2008-02-12,4.45929,45.08,83.56,264.38461,62.97,43.31,29.96,56.37,28.34,35.06401,50.25,84.38
2008-02-13,4.62143,46.85,85.48,269.07693,63.41,44.1,29.695,56.64,28.96,36.09091,50.66,85.49
2008-02-14,4.55214,45.69,85.22,264.53845,62.79,42.61,29.275,55.58,28.5,35.49344,49.97,85.55
2008-02-15,4.45107,45.11,85.18,264.38461,62.9,43.25,29.38,55.3,28.42,35.31607,49.44,85.37
2008-02-19,4.36357,44.55,85.37,263.69232,63.66,42.83,29.05,55.67,28.17,32.99154,49.66,87.01
2008-02-20,4.42214,45.3,84.0,264.30768,63.23,43.15,29.115,56.2,28.22,32.89818,49.7,88.1
2008-02-21,4.34071,44.68,82.01,259.15384,62.98,43.07,28.995,55.23,28.1,33.01021,49.79,86.92
2008-02-22,4.26643,45.06,83.04,258.07693,63.18,43.93,29.13,55.69,27.68,33.79439,49.97,87.17
2008-02-25,4.27643,45.21,84.66,263.15384,63.85,44.03,29.385,56.05,27.84,34.09312,50.33,89.13
2008-02-26,4.25536,45.81,84.57,261.07693,63.72,43.72,29.76,56.45,28.38,34.36385,51.4,89.89
2008-02-27,4.39143,46.07,83.95,261.69232,63.04,44.41,30.025,55.33,28.26,33.97176,51.43,89.39
2008-02-28,4.63964,44.42,84.8,260.38461,62.71,42.44,29.73,54.62,27.93,34.70926,50.7,89.38
2008-02-29,4.465,42.3,82.79,254.92308,61.96,40.65,29.23,54.11,27.2,33.90641,49.59,87.01
2008-03-03,4.3475,42.08,80.67,256.92307,62.23,39.82,29.51,53.16,26.99,33.87841,49.89,87.75
2008-03-04,4.45071,42.65,79.62,257.84616,62.64,39.19,29.685,53.63,27.59,33.31828,49.87,86.69
2008-03-05,4.44607,42.23,80.71,259.0,63.13,38.74,29.84,53.94,28.12,33.561,49.55,87.19
2008-03-06,4.31893,41.29,79.51,252.76923,62.63,37.37,29.55,53.04,27.57,32.93552,49.98,84.51
2008-03-07,4.36607,41.53,76.6,247.92308,61.51,37.56,29.425,52.27,27.87,32.74881,49.9,82.49
